Manufacturer Name,NDC Number,Drug Product Description,Date Introduced to Market,WAC at Introduction,Marketing/Pricing Plan Description,Marketing/Pricing Plan Non-Public Indicator,Estimated Number of Patients,Breakthrough Therapy Indicator,Priority Review Indicator,Acquisition Date,Acquisition Price,Acquisition Price Non-Public Indicator,Acquisition Price Comment,General Comments,Supporting Documents,,,,,,,,,,,,,,
SUN PHARMACEUTICALS,47335093640,"Leuprolide Acetate Injection 1Mg/0.2Ml, 2.8Ml",2019-03-01,705.67,,1,,,,,,,,"ESTIMATED_PATIENTS: unknown to Sun; MARKETING_PRICING_NONPUBLIC:This information is proprietary to Sun and as such, is non-public.",,,,,,,,,,,,,,,
SUN PHARMACEUTICALS,47335023683,Ambrisentan 5 mg Tabs 30ct,2019-04-25,7500,"This product is priced to reflect a discount off of the Reference Drug listed by the FDA. Sun representatives, who are responsible for generic sales, do not promote to health care providers.",,0,,,,,,,"Estimated average of patients per month is unknown to Sun Pharma. This product (ANDA approval) is being marketed in the generic, multisource space.",,,,,,,,,,,,,,,
SUN PHARMACEUTICALS,47335023783,Ambrisentan 10 mg Tabs 30ct,2019-04-25,7500,"This product is priced to reflect a discount off of the Reference Drug listed by the FDA. Sun representatives, who are responsible for teneric sales, do not promote to health care providers.",,0,,,,,,,"Estimated average of patients per month is unknown to Sun Pharma. This product (ANDA approval) is being marketed in the generic, multisource space.",,,,,,,,,,,,,,,
SUN PHARMACEUTICALS,47335003886,Bosentan Tablets 62.5mg 60ct,2019-06-14,6281.07,"This product is priced to reflect a discount off of the Reference Drug listed by the FDA. Sun representatives, who are responsible for generic sales, do not promote to health care providers.",,0,,,,,,,"Estimated average of patients per month is unknown to Sun Pharma. This product (ANDA approval) is being marketed in the generic, multisource space.",,,,,,,,,,,,,,,
SUN PHARMACEUTICALS,47335003986,Bosentan Tablets 125mg 60ct,2019-06-14,6281.07,"This product is priced to reflect a discount off of the Reference Drug listed by the FDA. Sun representatives, who are responsible for generic sales, do not promote to health care providers.",,0,,,,,,,"Estimated average of patients per month is unknown to Sun Pharma. This product (ANDA approval) is being marketed in the generic, multisource space.",,,,,,,,,,,,,,,
SUN PHARMACEUTICALS,63304073410,Esomeprazole 20mg DR Cap  1000ct,2019-05-15,826.71,"This product is priced to reflect a discount off of the Reference Drug listed by the FDA. Sun representatives, who are responsible for generic sales, do not promote to health care providers.",,0,,,,,,,"Estimated average of patients per month is unknown to Sun Pharma. This product (ANDA approval) is being marketed in the generic, multisource space.",,,,,,,,,,,,,,,
SUN PHARMACEUTICALS,63304073510,Esomeprazole 40mg DR Cap 1000ct,2019-05-07,826.71,"This product is priced to reflect a discount off of the Reference Drug listed by the FDA. Sun representatives, who are responsible for generic sales, do not promote to health care providers.",,0,,,,,,,"Estimated average of patients per month is unknown to Sun Pharma. This product (ANDA approval) is being marketed in the generic, multisource space.",,,,,,,,,,,,,,,
SUN PHARMACEUTICALS,47335037983,Cinacalcet HCL Oral Tablet 30MG,2019-08-27,685.7,"This product is being marketed in the generic, multisource space. This product is priced to reflect a discount off of the Reference Drug listed by the FDA. Sun representatives, who are responsible for generic sales, do not promote to health care providers.",,0,,,,,,,Estimated average of patients per month is unknown to Sun Pharma; Sun received FDA approval for the drug’s ANDA application (Application number A207008),,,,,,,,,,,,,,,
SUN PHARMACEUTICALS,47335038083,Cinacalcet HCL Oral Tablet 60MG,2019-08-27,1371.39,"This product is being marketed in the generic, multisource space. This product is priced to reflect a discount off of the Reference Drug listed by the FDA. Sun representatives, who are responsible for generic sales, do not promote to health care providers.",,0,,,,,,,Estimated average of patients per month is unknown to Sun Pharma; Sun received FDA approval for the drug’s ANDA application (Application number A207008),,,,,,,,,,,,,,,
SUN PHARMACEUTICALS,47335060083,Cinacalcet HCL Oral Tablet 90MG,2019-08-27,2057.09,"This product is being marketed in the generic, multisource space. This product is priced to reflect a discount off of the Reference Drug listed by the FDA. Sun representatives, who are responsible for generic sales, do not promote to health care providers.",,0,,,,,,,Estimated average of patients per month is unknown to Sun Pharma; Sun received FDA approval for the drug’s ANDA application (Application number A207008),,,,,,,,,,,,,,,
SUN PHARMACEUTICALS,63304009530,Erlotinib Tab 25mg/30ct,2019-11-11,2481,"This product is being marketed in the generic, multisource space. This product is priced to reflect a discount off of the Reference Drug listed by the FDA. Sun representatives, who are responsible for generic sales, do not promote to health care providers.",,,,,,,,,Estimated average of patients per month is unknown to Sun; the reason for leaving the acquisition-related fields blank was because Sun Pharmaceuticals developed the drugs.,,,,,,,,,,,,,,,
SUN PHARMACEUTICALS,63304009630,Erlotinib Tab 100mg/30ct,2019-11-11,6445.82,"This product is being marketed in the generic, multisource space. This product is priced to reflect a discount off of the Reference Drug listed by the FDA. Sun representatives, who are responsible for generic sales, do not promote to health care providers.",,,,,,,,,Estimated average of patients per month is unknown to Sun; the reason for leaving the acquisition-related fields blank was because Sun Pharmaceuticals developed the drugs,,,,,,,,,,,,,,,
SUN PHARMACEUTICALS,63304013530,Erlotinib Tab 150mg/30ct,2019-11-11,7302.01,"This product is being marketed in the generic, multisource space. This product is priced to reflect a discount off of the Reference Drug listed by the FDA. Sun representatives, who are responsible for generic sales, do not promote to health care providers.",,,,,,,,,Estimated average of patients per month is unknown to Sun; the reason for leaving the acquisition-related fields blank was because Sun Pharmaceuticals developed the drugs,,,,,,,,,,,,,,,
SUN PHARMACEUTICALS,62756009045,MEDROXYPROGESTERONE 150 mg/ml 1 ml Vial 25pk,2019-10-02,2036.38,"This product is being marketed in the generic, multisource space. This product is priced to reflect a discount off of the Reference Drug listed by the FDA. Sun representatives, who are responsible for generic sales, do not promote to health care providers.",,,,,,,,,1. Estimated average of patients per month is unknown to Sun 2. A limited amount of this NDC11 was only sold to a single Wholesaler on 10/2/2019 prior to the official commercial launch date of 11/20/19.  ON 11/20/19 both the trade and the compendia were notified of the launch as of that date 3. The reason for leaving the acquisition-related fields blank was because Sun Pharmaceuticals developed the drugs,,,,,,,,,,,,,,,
SUN PHARMACEUTICALS,62756057083,Deferasirox OS Tab 500mg 30ct,2019-12-17,760.08,"This product is being marketed in the generic, multi source space. This product is priced to reflect a discount off of the Reference Drug listed by the FDA. Sun representatives, who are responsible for generic sales, do not promote to health care providers.",,0,,,,,,,Estimated average of patients per month is unknown to Sun Pharma. This drug was not acquired.,https://reports.siera.oshpd.ca.gov/api/report/drug-pricing/attachment?id=333,,,,,,,,,,,,,,
Pfizer,409111201,Busulfan Injection 60 mg/10mL (6mg/mL),2019-02-28,7786,,1,70000,,,,,,,"Comment regarding Field 5 - Pfizer does not believe the Marketing/Pricing Plan information is publicly available and has not released this information in the public domain. Accordingly, Pfizer is limiting its response to this item pursuant to Cal. Health & Safety Code § 127681(c)  Comment regarding Field 7 - The number entered in field 7 is the estimated number of patients in the U.S. for 2010.  The projected number of patients in the U.S. for 2030 is 144,000. Patients with this condition may or may not use this product. Source: https://www.cancernetwork.com/chronic-myeloid-leukemia/chronic-myeloid-leukemia  Comment regarding Fields 10-13 - The product was not acquired.",,,,,,,,,,,,,,,
Pfizer,69197540,VYNDAQEL® (tafamidis meglumine) 20MG CAP 4X30 BLST US,2019-05-06,187500,,1,,1,1,2010-10-06,,1,"On October 6, 2010, we completed our acquisition of FoldRx Pharmaceuticals, Inc. (FoldRx), a privately held drug discovery and clinical development company, whose portfolio included clinical and preclinical programs for investigational compounds to treat diseases caused by protein misfolding. The total consideration for the acquisition was approximately $400 million, which consisted of an upfront payment to FoldRx’s shareholders of about $200 million and contingent consideration with an estimated acquisition-date fair value of about $200 million. The contingent consideration consists of up to $455 million in additional payments that are contingent upon the attainment of future regulatory and commercial milestones.","Comment regarding Field 5 - Pfizer does not believe the Marketing/Pricing Plan information is publicly available and has not released this information in the public domain. Accordingly, Pfizer is limiting its response to this item pursuant to Cal. Health & Safety Code § 127681(c).   Comment regarding Field 7 - ATTR-CM is significantly under or misdiagnosed, and as a result, it is difficult to characterize prevalence. Based on our internal estimates and existing literature, we believe U.S. prevalence is approximately 100,000 with a diagnosis range of approximately 1-2%.",,,,,,,,,,,,,,,
Pfizer,69873030,VYNDAMAX™ 61MG CAP 3X10 BLST US,2019-08-27,18750,,1,3000,,,2010-10-06,,1,"On October 6, 2010, we completed our acquisition of FoldRx Pharmaceuticals, Inc. (FoldRx), a privately held drug discovery and clinical development company, whose portfolio included clinical and preclinical programs for investigational compounds to treat diseases caused by protein misfolding. The total consideration for the acquisition was approximately $400 million, which consisted of an upfront payment to FoldRx’s shareholders of about $200 million and contingent consideration with an estimated acquisition-date fair value of about $200 million. The contingent consideration consists of up to $455 million in additional payments that are contingent upon the attainment of future regulatory and commercial milestones.","Comment regarding Field 5 - Pfizer does not believe the Marketing/Pricing Plan information is publicly available and has not released this information in the public domain. Accordingly, Pfizer is limiting its response to this item pursuant to Cal. Health & Safety Code § 127681(c).   Comment regarding Field 7 - ATTR-CM is significantly under or misdiagnosed, and as a result, it is difficult to characterize prevalence. Based on our internal estimates and existing literature, we believe U.S. prevalence is approximately 100,000 with a diagnosis range of approximately 3%.",,,,,,,,,,,,,,,
Pfizer,409139051,MEROPENEM 500mg SPO 1x10 GVIAL US,2019-10-08,145,,1,,,,,,,,"Comment regarding Field 5 - Pfizer does not believe the Marketing/Pricing Plan information is publicly available and has not released this information in the public domain. Accordingly, Pfizer is limiting its response to this item pursuant to Cal. Health & Safety Code § 127681(c). Comment regarding Field 7 - The estimated number of patients solely for Meropenem is not available.",,,,,,,,,,,,,,,
Pfizer,409139122,MEROPENEM 1gm SPO 1x10 GVIAL US,2019-10-08,291.4,,1,,,,,,,,"Comment regarding Field 5 - Pfizer does not believe the Marketing/Pricing Plan information is publicly available and has not released this information in the public domain. Accordingly, Pfizer is limiting its response to this item pursuant to Cal. Health & Safety Code § 127681(c). Comment regarding Field 7 - The estimated number of patients solely for Meropenem is not available.",,,,,,,,,,,,,,,
Pfizer,409110301,CISATRACURIUM 200MG/20ML SSOL 1X10 GVL,2019-11-06,2705,,1,,,,,,,,"Comment regarding Field 5 - Pfizer does not believe the Marketing/Pricing Plan information is publicly available and has not released this information in the public domain. Accordingly, Pfizer is limiting its response to this item pursuant to Cal. Health & Safety Code § 127681(c). Comment regarding Field 7 - The estimated number of patients solely for Cisatracurium is not available. Comment regarding Fields 10 -13: The cost for Cisatracurium Besylate Injection alone is not available. On September 3, 2015, Pfizer acquired Hospira, a leading provider of sterile injectable drugs and infusion technologies as well as a provider of biosimilars, for approximately $16.1 billion in cash ($15.7 billion, net of cash acquired). The acquisition cost of $16,100,000,000 reflects the total cost of the entire Hospira acquisition. Cisatracurium Besylate Injection received FDA approval associated with a new ANDA.",,,,,,,,,,,,,,,
Pfizer,69034201,ZIRABEV™ 400MG/16ML SSOL 1x1 GVL US,2019-12-31,2453.6,,1,75000,,,,,,,"Comment regarding Field 5 - Pfizer does not believe the Marketing/Pricing Plan information is publicly available and has not released this information in the public domain. Accordingly, Pfizer is limiting its response to this item pursuant to Cal. Health & Safety Code § 127681(c). Comment regarding Field 7 - Based on our internal estimates of the size of the bevacizumab market based on Avastin's usage across tumor types, we estimate 85,000 patients currently being treated on Avastin. Note this includes ovarian cancer; please note that Zirabev is not indicated for use in that patient population (12% of patients). Comment regarding Fields 10-13: Zirabev was not acquired; therefore, Columns 10 – 13 are intentionally left blank.",,,,,,,,,,,,,,,
Pfizer,69031501,ZIRABEV™ 100MG/4ML SSOL 1X1 GVL US,2019-12-31,613.4,,1,75000,,,,,,,"Comment regarding Field 5 - Pfizer does not believe the Marketing/Pricing Plan information is publicly available and has not released this information in the public domain. Accordingly, Pfizer is limiting its response to this item pursuant to Cal. Health & Safety Code § 127681(c). Comment regarding Field 7 - Based on our internal estimates of the size of the bevacizumab market based on Avastin's usage across tumor types, we estimate 85,000 patients currently being treated on Avastin. Note this includes ovarian cancer; please note that Zirabev is not indicated for use in that patient population (12% of patients). Comment regarding Fields 10-13: Zirabev was not acquired; therefore, Columns 10 – 13 are intentionally left blank.",,,,,,,,,,,,,,,
Sanofi,5846802271,Cablivi (caplacizumab-yhdp),2019-04-02,7300,"Marketing initiatives include print and digital media,  engagement at scientific meetings attended by HCPs most likely to manage patients with acquired thrombotic thrombocytopenic purpura (aTTP), materials to be used by sales representatives to share information on caplacizumab with prescribers, and materials to educate patients about aTTP.  Sanofi’s commitment to pricing rests on three principles: a holistic assessment of value when setting launch prices, year-over-year price increases that are limited to National Health Expenditure projections, and disclose our aggregate gross and net prices changes to provide greater transparency about the pricing of our medicines.   These comprehensive principles were drafted to address questions around the price of medicines in the United States. Our goal is to make our medicines accessible and affordable to all patients.   We share concerns about the affordability of medicines, and we believe deeply in the important role we play in providing treatments for serious illnesses. We are determined to do our part in pricing our medicines with greater transparency and according to their value, while continuing to advance scientific knowledge and bringing life-saving treatments to patients worldwide.",,1800,,1,,,,,"Ablynx, a Sanofi Company, was acquired by Sanofi in 2018.",,,,,,,,,,,,,,,
AstraZeneca,310183030,Name- Fasenra Pen (benralizumab) Dosage- 30mg/mL solution Form- Injection: In a single dose pre-filled autoinjector,2019-10-28,4895.74,"AstraZeneca will engage 20 sales representative(s) to cover the state of California. Patient brochures, clinical data, dosing/administration guides, and samples may be left behind in offices for informational purposes. In addition to sales representative promotion, Fasenra® commercials are televised on the national broadcast networks. AstraZeneca provides online resources via FasenraHCP.com for US healthcare professionals and Fasenra.com for patients and consumers. Patients may register for the FASENRA 360 support program via the website which will enroll them in a digital relationship marketing program to receive materials such as disease state education, patient brochures, and dosing reminders. The FASENRA® patient savings program for eligible commercially insured patients will be available for patients in California and can be found on Fasenra.com. FASENRA® is currently marketed in 47 countries.",,1000000,,,,,,,FASENRA® (Benralizumab) is indicated as an add-on maintenance treatment of patients 12 years and older with severe eosinophilic asthma. FASENRA® (Benralizumab) is not indicated for treatment of other eosinophilic conditions or for the relief of acute bronchospasm or status asthmaticus.  The reason for the blank fields related to acquisition of the product (columns 10-13) is due to the fact that AstraZeneca did not acquire the drug.,,,,,,,,,,,,,,,
Janssen,50458002802,SPRAVATO  Estekamine Nasal Spray 56mg (2X28mg),2019-03-08,590,"While specific marketing and pricing plans are not available in the public domain, generally we are marketing in the US with print distribution and digital advertising in the mental health community, as well as promoting to appropriate healthcare professionals, systems of care and behavioral health clinics who treat individuals living with treatment resistant depression.  The pricing plan has WAC set at $590 per package of 2 inhalers.  The list price of SPRAVATO™ is not reflective of discounts and rebates which may be available through Medicaid, Medicare, and commercial insurance.  SPRAVATO™ will also be discounted as required under the 340B program, the Federal Supply Schedule, and other government programs.  Internationally, we are pursuing regulatory approvals for SPRAVATO for the treatment of treatment resistant depression. No approvals have been granted at this time.",,,1,1,,,,,"While Janssen's estimated volume of patients who may be prescribed SPRAVATO is not available in the public domain, according to the National Institute of Mental Health, there are approximately  16.2 million patients with major depressive disorder (MDD) in the United States, and approximately 1/3 of MDD patients have treatment resistant depression (TRD). SPRAVATO will be clinically appropriate for a subset of patients with TRD.",,,,,,,,,,,,,,,
Janssen,50458002803,SPRAVATO  Estekamine Nasal Spray 84mg (3X28mg),2019-03-08,885,"While specific marketing and pricing plans are not available in the public domain, generally we are marketing in the US with print distribution and digital advertising in the mental health community, as well as promoting to appropriate healthcare professionals, systems of care and behavioral health clinics who treat individuals living with treatment resistant depression.  The pricing plan has WAC set at $885 per package of 3 inhalers.  The list price of SPRAVATO™ is not reflective of discounts and rebates which may be available through Medicaid, Medicare, and commercial insurance.  SPRAVATO™ will also be discounted as required under the 340B program, the Federal Supply Schedule, and other government programs.  Internationally, we are pursuing regulatory approvals for SPRAVATO for the treatment of treatment resistant depression. No approvals have been granted at this time.",,,1,1,,,,,"While Janssen's estimated volume of patients who may be prescribed SPRAVATO is not available in the public domain, according to the National Institute of Mental Health, there are approximately  16.2 million patients with major depressive disorder (MDD) in the United States, and approximately 1/3 of MDD patients have treatment resistant depression (TRD). SPRAVATO will be clinically appropriate for a subset of patients with TRD.",,,,,,,,,,,,,,,
