gender,department,department_name,division,assignment_category,employee_position_title,date_first_hired,year_first_hired,current_annual_salary
F,POL,Department of Police,MSB Information Mgmt and Tech Division Records Management Section,Fulltime-Regular,Office Services Coordinator,1986-09-22,1986,69222.18
M,POL,Department of Police,ISB Major Crimes Division Fugitive Section,Fulltime-Regular,Master Police Officer,1988-09-12,1988,97392.47
F,HHS,Department of Health and Human Services,Adult Protective and Case Management Services,Fulltime-Regular,Social Worker IV,1989-11-19,1989,104717.28
M,COR,Correction and Rehabilitation,PRRS Facility and Security,Fulltime-Regular,Resident Supervisor II,2014-05-05,2014,52734.57
M,HCA,Department of Housing and Community Affairs,Affordable Housing Programs,Fulltime-Regular,Planning Specialist III,2007-03-05,2007,93396.0
M,POL,Department of Police,PSB 6th District Special Assignment Team,Fulltime-Regular,Police Officer III,2007-07-16,2007,70435.0
F,FRS,Fire and Rescue Services,EMS Billing,Fulltime-Regular,Accountant/Auditor II,2016-06-27,2016,60300.0
M,HHS,Department of Health and Human Services,Head Start,Fulltime-Regular,Administrative Specialist II,2014-11-17,2014,64788.65
M,FRS,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer III,2016-12-12,2016,45261.0
F,POL,Department of Police,FSB Traffic Division Automated Traffic Enforcement Section,Fulltime-Regular,Police Aide,2007-02-05,2007,47670.09
M,DGS,Department of General Services,Facilities Maintenance,Fulltime-Regular,Electrician I,2014-01-13,2014,63492.87
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2002-04-28,2002,58671.02
F,HHS,Department of Health and Human Services,STD and HIV Services,Parttime-Regular,Medical Doctor III - Physician,2003-12-01,2003,152343.2
M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,2008-03-02,2008,46626.87
M,DOT,Department of Transportation,Transportation Management,Fulltime-Regular,Traffic Management Technician II,2015-12-14,2015,40631.32
F,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,2016-02-22,2016,41220.18
F,HHS,Department of Health and Human Services,Adult Protective and Case Management Services,Fulltime-Regular,Social Worker III,2006-06-26,2006,97190.31
M,DTS,Department of Technology Services,ERP Technical Support,Fulltime-Regular,Senior Information Technology Specialist,2005-03-07,2005,118400.0
F,LIB,Department of Public Libraries,Olney Library,Fulltime-Regular,Library Assistant I,2000-01-26,2000,55139.66
M,LIB,Department of Public Libraries,Long Branch Library,Parttime-Regular,Library Assistant I,2010-11-22,2010,18881.74
F,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2014-06-30,2014,42053.83
F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,2004-03-08,2004,21766.2
F,HHS,Department of Health and Human Services,Community Support Network for People with Disabilities,Parttime-Regular,Office Clerk,2010-05-04,2010,17269.0
M,DGS,Department of General Services,Fleet Automotive Heavy Equipment,Fulltime-Regular,Mechanic Technician II,2007-04-16,2007,65699.03
M,FIN,Department of Finance,Information Technology,Fulltime-Regular,Manager II,2005-12-12,2005,156516.65
M,DLC,Department of Liquor Control,Kingsview,Parttime-Regular,Liquor Store Clerk I,2016-03-28,2016,27805.44
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2000-03-05,2000,62836.91
M,POL,Department of Police,MSB Information Management and Technology Division,Fulltime-Regular,Information Technology Technician III,2014-10-20,2014,53148.66
F,CCL,County Council,Council Central Staff,Fulltime-Regular,Information Technology Specialist III,2006-12-26,2006,87758.24
M,DLC,Department of Liquor Control,Beer Warehouse Operations,Fulltime-Regular,Supply Technician III,2007-10-10,2007,38953.38
F,HHS,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Supervisor,1990-01-16,1990,97912.0
F,POL,Department of Police,MSB Personnel Division,Parttime-Regular,Police Cadet,2015-02-15,2015,16049.0
M,DLC,Department of Liquor Control,Kensington,Parttime-Regular,Liquor Store Clerk I,2015-06-15,2015,28772.07
M,POL,Department of Police,ISB Criminal Investigations Division Financial Crimes Section,Fulltime-Regular,Police Officer III,2003-07-21,2003,86588.0
F,DGS,Department of General Services,Central Duplicating,Fulltime-Regular,Imaging Operator II,2016-09-06,2016,40000.0
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2012-07-16,2012,45048.5
M,CEC,Community Engagement Cluster,Community Partnerships,Fulltime-Regular,Director Office of Community Partnerships,2007-03-19,2007,176837.0
M,DTS,Department of Technology Services,ETSD Telephone Services,Fulltime-Regular,Telecommunications Technician,2013-10-07,2013,73801.0
M,DLC,Department of Liquor Control,"Licensure, Regulation and Education",Fulltime-Regular,Alcohol/Tobacco Enforcement Specialist II,2008-11-10,2008,80980.21
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,1999-02-07,1999,64141.0
F,POL,Department of Police,MSB Management and Budget Division,Fulltime-Regular,Administrative Specialist III,2008-11-24,2008,70671.77
M,FRS,Fire and Rescue Services,Station 16,Fulltime-Regular,Firefighter/Rescuer III,2006-10-09,2006,68015.0
M,DGS,Department of General Services,Facilities,Fulltime-Regular,Office Services Coordinator,1996-12-16,1996,58867.29
M,SHF,Sheriff's Office,Court and Transport,Fulltime-Regular,Deputy Sheriff III,1997-09-29,1997,85405.0
F,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2015-09-28,2015,40631.32
F,DPS,Department of Permitting Services,Central Services Unit,Fulltime-Regular,Administrative Specialist II,1988-01-03,1988,86673.48
F,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Emergency Communications Supervisor,1996-08-05,1996,93396.0
F,HHS,Department of Health and Human Services,Emergency Housing Assistance,Fulltime-Regular,Community Services Aide III,1992-08-03,1992,72445.29
M,DTS,Department of Technology Services,ETSD Radio Communications Services,Fulltime-Regular,Manager III,2012-07-16,2012,123803.77
F,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Officer III (Corporal),2005-11-28,2005,67384.0
F,DLC,Department of Liquor Control,Clarksburg Village,Parttime-Regular,Liquor Store Clerk I,2012-11-09,2012,29779.06
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2008-03-02,2008,46626.08
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2014-05-27,2014,42053.83
M,DLC,Department of Liquor Control,Flower Avenue,Parttime-Regular,Liquor Store Clerk I,2014-12-01,2014,29779.09
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,2007-05-14,2007,54272.21
F,DLC,Department of Liquor Control,Goshen Crossing,Parttime-Regular,Liquor Store Clerk I,2013-07-28,2013,29779.06
M,DOT,Department of Transportation,Highway Administration,Fulltime-Regular,Highway Inspector II,1996-04-14,1996,78402.89
F,HHS,Department of Health and Human Services,Adult Protective Services - Nurse Assessment,Fulltime-Regular,Community Health Nurse II,2007-09-17,2007,94373.24
F,DLC,Department of Liquor Control,IT Administration,Fulltime-Regular,Information Technology Specialist III,1999-07-18,1999,107657.0
M,HHS,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Specialist II,1988-10-19,1988,83497.98
F,HHS,Department of Health and Human Services,Permanent Supportive Housing,Fulltime-Regular,Social Worker II,1988-05-18,1988,96197.88
F,HHS,Department of Health and Human Services,Home Care Services,Fulltime-Regular,Community Services Aide III,1994-03-14,1994,76015.03
M,DOT,Department of Transportation,Transportation Technical Center,Fulltime-Regular,Traffic Field Service Technician II,1979-11-26,1979,63067.93
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,2006-10-30,2006,46325.18
M,DPS,Department of Permitting Services,Team 1 Residential Plan Review,Fulltime-Regular,Senior Permitting Services Specialist,1989-03-13,1989,110886.71
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,2016-10-17,2016,42792.0
F,POL,Department of Police,MSB Personnel Division,Fulltime-Regular,Administrative Specialist III,1989-04-10,1989,95263.92
M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer III,2012-07-16,2012,60501.0
M,DPS,Department of Permitting Services,Team 1 Residential Plan Review,Fulltime-Regular,Senior Permitting Services Specialist,1988-04-18,1988,110886.71
F,LIB,Department of Public Libraries,Bethesda Library,Parttime-Regular,Library Aide,2005-07-08,2005,18247.04
M,FIN,Department of Finance,Treasury Operations,Fulltime-Regular,Accountant/Auditor III,1999-04-19,1999,93396.0
F,COR,Correction and Rehabilitation,DS Health Services,Fulltime-Regular,Correctional Health Nurse II,2015-11-02,2015,68940.72
F,DEP,Department of Environmental Protection,Management Services,Fulltime-Regular,Administrative Specialist II,2011-01-31,2011,74426.11
F,HHS,Department of Health and Human Services,Area Health Centers,Fulltime-Regular,Administrative Specialist III,2012-03-26,2012,80947.6
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker II,2016-10-17,2016,57300.0
M,HHS,Department of Health and Human Services,School Health Services Center,Parttime-Regular,School Health Room Technician I,2016-07-26,2016,28461.33
F,HHS,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Specialist II,2005-03-21,2005,64827.88
M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,2013-08-12,2013,58455.0
F,HHS,Department of Health and Human Services,Area Health Centers,Fulltime-Regular,Community Services Aide III,2006-06-12,2006,58322.67
M,HHS,Department of Health and Human Services,Latino Health Initiative,Fulltime-Regular,Program Specialist II,2014-04-07,2014,73810.48
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Community Services Aide III,2006-10-30,2006,51355.01
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2008-02-11,2008,46626.87
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker III,2008-06-23,2008,70319.8
F,HHS,Department of Health and Human Services,Director's Office,Fulltime-Regular,Director Department of Health and Human Services,2007-02-13,2007,228383.0
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,2014-07-28,2014,50785.5
M,HRC,Office of Human Rights,Director's Office,Fulltime-Regular,Office Services Coordinator,2002-10-14,2002,58605.82
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,2011-08-01,2011,37838.73
M,DGS,Department of General Services,Building Design and Construction,Fulltime-Regular,Construction Representative III,2006-12-11,2006,88980.92
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2007-03-12,2007,48258.81
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2008-03-02,2008,46626.87
M,DLC,Department of Liquor Control,Potomac,Parttime-Regular,Liquor Store Clerk I,2015-11-16,2015,28772.17
F,BOA,Board of Appeals Department,Board of Appeals Division,Fulltime-Regular,Office Services Coordinator,2007-11-13,2007,49336.78
F,POL,Department of Police,FSB Animal Services Division,Fulltime-Regular,Registered Veterinary Technician,2014-12-01,2014,48503.69
F,REC,Department of Recreation,Facilities Division,Fulltime-Regular,Recreation Coordinator,2012-06-07,2012,44753.0
M,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),2007-02-05,2007,62903.0
F,DLC,Department of Liquor Control,Muddy Branch,Parttime-Regular,Liquor Store Clerk I,2012-04-23,2012,29779.07
M,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),2004-06-01,2004,65623.0
F,DLC,Department of Liquor Control,Walnut Hill,Parttime-Regular,Liquor Store Clerk I,2012-05-20,2012,29779.07
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2007-03-26,2007,48258.81
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Principal Administrative Aide,2012-05-21,2012,40452.28
M,POL,Department of Police,MSB Information Management and Technology Division Data Systems Section,Fulltime-Regular,Information Technology Technician III,2015-11-30,2015,68131.46
M,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,2016-02-22,2016,42792.0
M,DGS,Department of General Services,Building Design and Construction,Fulltime-Regular,Construction Representative III,2005-08-22,2005,93396.0
M,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),2004-11-29,2004,69744.0
M,DTS,Department of Technology Services,EASD Web and Mobile Applications,Fulltime-Regular,Information Technology Specialist II,2006-05-15,2006,93396.0
M,LIB,Department of Public Libraries,Materials Delivery,Fulltime-Regular,Driver/Clerk,2008-09-29,2008,41270.12
M,FRS,Fire and Rescue Services,Station 30,Fulltime-Regular,Firefighter/Rescuer III,2011-05-08,2011,63345.0
M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,2013-05-20,2013,42053.42
F,DOT,Department of Transportation,Parking Management Financial Management,Fulltime-Regular,Fiscal Assistant,2001-11-05,2001,67206.0
