fold,model,score,loss,roc_auc,fit_predict_time
1,AutoGluon_Tabular_with_text,0.69,0.7788184083688018,0.884246261539033,385.1041033267975
1,AutoGluon_Tabular_without_text,0.6366666666666667,0.8159574148536046,0.8487720361419016,369.4468204975128
2,AutoGluon_Tabular_with_text,0.6683333333333333,0.7983659540568551,0.873450658689476,367.9779419898987
2,AutoGluon_Tabular_without_text,0.6383333333333333,0.8135971653571216,0.8463856902564019,376.63055324554443
3,AutoGluon_Tabular_with_text,0.6916666666666667,0.7677111152549112,0.8928246863766655,376.46173620224
3,AutoGluon_Tabular_without_text,0.66,0.8050364422941965,0.8591817061847472,374.02467155456543
4,AutoGluon_Tabular_with_text,0.6716666666666666,0.8846083931974238,0.8748826063867703,365.7501628398895
4,AutoGluon_Tabular_without_text,0.6183333333333333,0.7953497247268794,0.8526652450345622,378.88639998435974
5,AutoGluon_Tabular_with_text,0.6733333333333333,0.8224238105524374,0.859107781507171,377.17087864875793
5,AutoGluon_Tabular_without_text,0.595,0.864114591590094,0.8228993896971786,375.3184459209442
