fold,model,score,loss,roc_auc,fit_predict_time
1,AutoGluon_Tabular_with_text,0.9666666666666667,0.09312176005776858,0.99419002050581,379.79302048683167
1,AutoGluon_Tabular_without_text,0.83,0.32946943955435215,0.9147168620852832,394.07495975494385
2,AutoGluon_Tabular_with_text,0.95,0.11520181804251786,0.9923201239465214,370.013468503952
2,AutoGluon_Tabular_without_text,0.85,0.33842438829524873,0.9116881035380856,387.86776995658875
3,AutoGluon_Tabular_with_text,0.9533333333333334,0.12127368770738273,0.9907043999173725,366.126460313797
3,AutoGluon_Tabular_without_text,0.845,0.3466975436879514,0.9128408386696963,388.4490351676941
4,AutoGluon_Tabular_with_text,0.97,0.07876014702859144,0.9955806668158425,361.52757024765015
4,AutoGluon_Tabular_without_text,0.845,0.3327392940110287,0.9074527299172075,388.8729205131531
5,AutoGluon_Tabular_with_text,0.9583333333333334,0.10668175680892984,0.9912432040594419,368.05626106262207
5,AutoGluon_Tabular_without_text,0.8683333333333333,0.2930644836934978,0.9341065603479521,390.70670318603516
