fold,model,score,loss,roc_auc,fit_predict_time
1,AutoGluon_Tabular_with_text,0.6306548345303079,56.94344343048188,,379.31381273269653
1,AutoGluon_Tabular_without_text,0.6175645856708913,57.943745877880744,,361.57134556770325
2,AutoGluon_Tabular_with_text,0.6691794467799529,48.21051919894683,,383.9725377559662
2,AutoGluon_Tabular_without_text,0.671743521780837,48.02332429286564,,387.3811893463135
3,AutoGluon_Tabular_with_text,0.6441119422183414,59.757076289449294,,382.4763596057892
3,AutoGluon_Tabular_without_text,0.678946109725936,56.75728355417546,,359.15823578834534
4,AutoGluon_Tabular_with_text,0.6421181706293573,53.83054839448402,,382.84421730041504
4,AutoGluon_Tabular_without_text,0.6662540664098194,51.983674101008425,,361.5602481365204
5,AutoGluon_Tabular_with_text,0.6040280424384007,55.77289202590943,,382.5261707305908
5,AutoGluon_Tabular_without_text,0.5898620424343086,56.76177027529442,,376.86909675598145
