fold,model,score,loss,roc_auc,fit_predict_time
1,AutoGluon_Tabular_with_text,0.8349105164390345,13627.726540821199,,369.8016836643219
1,AutoGluon_Tabular_without_text,0.7810443388385909,15694.294400108167,,391.40980052948
2,AutoGluon_Tabular_with_text,0.8178493964911139,20124.539041590866,,391.42649698257446
2,AutoGluon_Tabular_without_text,0.8271975735111026,19601.330550309438,,388.0311348438263
3,AutoGluon_Tabular_with_text,0.8676810212434038,11151.648809087417,,394.5946133136749
3,AutoGluon_Tabular_without_text,0.8123753059842772,13279.233648051446,,378.12010622024536
4,AutoGluon_Tabular_with_text,0.854710826205601,16174.006442101992,,371.1829414367676
4,AutoGluon_Tabular_without_text,0.8486760911741351,16506.49102851898,,390.6770646572113
5,AutoGluon_Tabular_with_text,0.8332102535018051,14755.977693926927,,366.83028411865234
5,AutoGluon_Tabular_without_text,0.8643822474881913,13305.818257706416,,373.85509514808655
