fold,model,score,loss,roc_auc,fit_predict_time
1,AutoGluon_Tabular_with_text,0.10572931842300681,29.506870638202905,,380.3241431713104
1,AutoGluon_Tabular_without_text,-0.1132245794451805,32.92153297289282,,379.00381541252136
2,AutoGluon_Tabular_with_text,0.17702901257211545,23.579513093740065,,368.8031210899353
2,AutoGluon_Tabular_without_text,-0.008543078325432552,26.102962345579414,,388.99238562583923
3,AutoGluon_Tabular_with_text,0.16749138843230382,32.154682812593144,,377.69261288642883
3,AutoGluon_Tabular_without_text,-0.006454812629409723,35.3546875128124,,377.96874356269836
4,AutoGluon_Tabular_with_text,0.09226581206561923,41.978931755141836,,379.9712402820587
4,AutoGluon_Tabular_without_text,-0.06888593229385642,45.55307693319436,,363.45074486732483
5,AutoGluon_Tabular_with_text,0.12600668525129155,29.811331956663423,,386.446124792099
5,AutoGluon_Tabular_without_text,-0.23681385899246266,35.463328642202036,,359.09360122680664
