fold,model,score,loss,roc_auc,fit_predict_time
1,AutoGluon_Tabular_with_text,0.43594876893945245,57.02940174345571,,378.1568994522095
1,AutoGluon_Tabular_without_text,0.4182579061920678,57.916830206223466,,392.32270884513855
2,AutoGluon_Tabular_with_text,0.5548423260128956,49.27138692956913,,380.39364671707153
2,AutoGluon_Tabular_without_text,0.5257550466007463,50.855650538105586,,402.2792193889618
3,AutoGluon_Tabular_with_text,0.2995257887976137,69.8823772352073,,399.4384677410126
3,AutoGluon_Tabular_without_text,0.33134676212049596,68.27662901862742,,405.4929664134979
4,AutoGluon_Tabular_with_text,0.42865663471260274,62.59472004446119,,406.19672894477844
4,AutoGluon_Tabular_without_text,0.39674313950531825,64.3191419285659,,407.2088463306427
5,AutoGluon_Tabular_with_text,0.4792181713221,64.05779462678984,,365.6933810710907
5,AutoGluon_Tabular_without_text,0.4615766214485071,65.13374147567635,,372.0878598690033
