fold,model,score,loss,roc_auc,fit_predict_time
1,TabPFN_v2API_with_text,0.708185053380783,1.0053765683091376,0.8577946636287838,10.828681945800781
1,TabPFN_v2API_without_text,0.6565836298932385,1.2423676809677124,0.7615763213153512,14.88304090499878
2,TabPFN_v2API_with_text,0.702846975088968,1.0164833146370293,0.860864272432822,9.707690954208374
2,TabPFN_v2API_without_text,0.6565836298932385,1.215409721558938,0.7537327057896881,3.1219756603240967
3,TabPFN_v2API_with_text,0.7153024911032029,0.9056693783604591,0.884378687675629,9.668176889419556
3,TabPFN_v2API_without_text,0.693950177935943,1.0612836917992348,0.8076724763331828,2.828948974609375
4,TabPFN_v2API_with_text,0.7135231316725978,0.9991932613727562,0.8655930721274145,23.738298892974854
4,TabPFN_v2API_without_text,0.6459074733096085,1.1838141408045078,0.7836263701941394,3.2008090019226074
5,TabPFN_v2API_with_text,0.6850533807829181,1.0119322205294485,0.8668306602284345,10.339915990829468
5,TabPFN_v2API_without_text,0.6441281138790036,1.2857040811764826,0.7368028367675534,4.824365139007568
