fold,model,score,loss,roc_auc,fit_predict_time
1,TabPFN_v2API_with_text,0.6716666666666666,0.7265237466648008,0.8769811860167751,11.266549110412598
1,TabPFN_v2API_without_text,0.6466666666666666,0.7818380443309153,0.8503783434694828,2.8603298664093018
2,TabPFN_v2API_with_text,0.6566666666666666,0.732009095568531,0.8721830269688169,10.63263201713562
2,TabPFN_v2API_without_text,0.6283333333333333,0.8089514557328031,0.8382454698253471,2.95504093170166
3,TabPFN_v2API_with_text,0.6633333333333333,0.7140468055015043,0.8743606795422147,10.850285768508911
3,TabPFN_v2API_without_text,0.6333333333333333,0.7537346095631766,0.8609101839434445,2.851986885070801
4,TabPFN_v2API_with_text,0.6783333333333333,0.7280034164451269,0.8804387082062359,9.949208974838257
4,TabPFN_v2API_without_text,0.625,0.8181365136482183,0.844584003328257,2.8611929416656494
5,TabPFN_v2API_with_text,0.6633333333333333,0.7261405306706166,0.8781664830205167,10.340737104415894
5,TabPFN_v2API_without_text,0.6616666666666666,0.8201108931515734,0.8417463265841875,3.785449981689453
