fold,model,score,loss,roc_auc,fit_predict_time
1,TabPFN_v2API_with_text,0.9583333333333334,0.10388006086971195,0.992251169882749,12.59167218208313
1,TabPFN_v2API_without_text,0.83,0.3263192854132559,0.9180950628319049,3.498459815979004
2,TabPFN_v2API_with_text,0.955,0.10935809347558154,0.9911314126965047,13.173367977142334
2,TabPFN_v2API_without_text,0.8616666666666667,0.32934040956132393,0.9142258017122785,3.5979011058807373
3,TabPFN_v2API_with_text,0.95,0.1203070770677618,0.9904268229704607,13.911444902420044
3,TabPFN_v2API_without_text,0.85,0.359975894212764,0.9118596364387523,6.908990859985352
4,TabPFN_v2API_with_text,0.9566666666666667,0.09869179710791108,0.9924479749384649,22.486917734146118
4,TabPFN_v2API_without_text,0.8483333333333334,0.33836997794823664,0.9054668270306557,6.747957706451416
5,TabPFN_v2API_with_text,0.9516666666666667,0.1014918946418153,0.9919028633562885,15.521842956542969
5,TabPFN_v2API_without_text,0.8366666666666667,0.2976590503230573,0.9295396882928597,7.941559076309204
