fold,model,score,loss,roc_auc,fit_predict_time
1,TabPFN_v2API_with_text,0.775,0.41346331338189346,0.8859355355533551,15.216509819030762
1,TabPFN_v2API_without_text,0.6933333333333334,0.5660698585820642,0.7717931886202561,4.535630941390991
2,TabPFN_v2API_with_text,0.765,0.4778643762013954,0.8459948435277382,19.3387930393219
2,TabPFN_v2API_without_text,0.6983333333333334,0.5885387357735694,0.7514335881934565,3.330657720565796
3,TabPFN_v2API_with_text,0.8,0.4530280373132897,0.8644700481369229,11.7377347946167
3,TabPFN_v2API_without_text,0.6883333333333334,0.567032549658461,0.7716504724549831,3.9612717628479004
4,TabPFN_v2API_with_text,0.785,0.44314808088663427,0.8611640211640211,14.858502864837646
4,TabPFN_v2API_without_text,0.65,0.6277356047083239,0.7144082428292955,2.8897409439086914
5,TabPFN_v2API_with_text,0.78,0.4265687614555407,0.8713005883401675,12.36426305770874
5,TabPFN_v2API_without_text,0.7,0.5846157075153264,0.7543345516134782,3.1842620372772217
