fold,model,score,loss,roc_auc,fit_predict_time
1,TabPFN_v2API_with_text,0.55,0.7538629935877744,0.5581337131031721,12.65365195274353
1,TabPFN_v2API_without_text,0.5233333333333333,0.7022845689470898,0.5558194906485385,3.4947590827941895
2,TabPFN_v2API_with_text,0.5933333333333334,0.7023266184725299,0.5717460881934566,11.4161958694458
2,TabPFN_v2API_without_text,0.505,0.7251292432117386,0.5754356330014224,5.174180269241333
3,TabPFN_v2API_with_text,0.54,0.6900444062294963,0.5639708504189695,13.965255975723267
3,TabPFN_v2API_without_text,0.545,0.71283499702648,0.5385875378855411,4.791559934616089
4,TabPFN_v2API_with_text,0.5383333333333333,0.691927783319073,0.5809635199108883,11.39008617401123
4,TabPFN_v2API_without_text,0.5266666666666666,0.6941496764251175,0.5316123642439432,3.605530023574829
5,TabPFN_v2API_with_text,0.5133333333333333,0.7027029798125587,0.5555580317347121,10.450799226760864
5,TabPFN_v2API_without_text,0.535,0.6858413640645336,0.5847688981993225,4.280565023422241
