fold,model,score,loss,roc_auc,fit_predict_time
1,TabPFN_v2API_with_text,0.81,0.5206213601108344,0.9817964687458405,10.985070943832397
1,TabPFN_v2API_without_text,0.6783333333333333,0.9747161232989228,0.938890780555238,5.944847106933594
2,TabPFN_v2API_with_text,0.8716666666666667,0.4321534665355757,0.987476212064232,11.696914196014404
2,TabPFN_v2API_without_text,0.6633333333333333,1.0295441583071367,0.9353427652880418,3.8085739612579346
3,TabPFN_v2API_with_text,0.8633333333333333,0.43890240652514867,0.9876588700457131,12.17790412902832
3,TabPFN_v2API_without_text,0.67,0.9940263924568117,0.9378995764638987,3.4642467498779297
4,TabPFN_v2API_with_text,0.8416666666666667,0.45673259257599036,0.9872196367377688,13.356920957565308
4,TabPFN_v2API_without_text,0.6383333333333333,1.0027262448031637,0.9381566741044688,3.2117550373077393
5,TabPFN_v2API_with_text,0.8166666666666667,0.5150171344582499,0.9829849409049898,11.121516942977905
5,TabPFN_v2API_without_text,0.6766666666666666,0.9718577088753022,0.9410486020670996,3.1266250610351562
