fold,model,score,loss,roc_auc,fit_predict_time
1,TabPFN_v2API_with_text,0.6593344615585074,54.68794671455372,,32.12720727920532
1,TabPFN_v2API_without_text,0.6548053511333856,55.05028147385935,,15.995483160018921
2,TabPFN_v2API_with_text,0.7430838180552426,42.48555505293499,,41.96976280212402
2,TabPFN_v2API_without_text,0.7089990707349049,45.216063985352385,,7.902262926101685
3,TabPFN_v2API_with_text,0.6985863071499192,54.993849677171426,,41.15148591995239
3,TabPFN_v2API_without_text,0.7014913740528752,54.7281888397286,,7.665716886520386
4,TabPFN_v2API_with_text,0.6783904082306658,51.02975417888947,,35.19613218307495
4,TabPFN_v2API_without_text,0.6705868325009574,51.645139802141166,,10.376535892486572
5,TabPFN_v2API_with_text,0.6494741693749402,52.47482066852488,,45.58598613739014
5,TabPFN_v2API_without_text,0.6296961182140005,53.93492533327799,,7.356555938720703
