fold,model,score,loss,roc_auc,fit_predict_time
1,TabPFN_v2API_with_text,0.6809440436555625,0.25564420607779464,,41.67689228057861
1,TabPFN_v2API_without_text,0.5926197850030519,0.2888700339582791,,14.714813232421875
2,TabPFN_v2API_with_text,0.6712784705002013,0.24853805767143458,,35.00988006591797
2,TabPFN_v2API_without_text,0.6048040535751814,0.2725116455254248,,4.991312026977539
3,TabPFN_v2API_with_text,0.634349186894227,0.2654975000961311,,19.692396879196167
3,TabPFN_v2API_without_text,0.5986061905752196,0.27817141488459657,,3.8747169971466064
4,TabPFN_v2API_with_text,0.6154129443339891,0.24398285865320593,,19.923293828964233
4,TabPFN_v2API_without_text,0.5378511075405021,0.2674563678052056,,24.113715887069702
5,TabPFN_v2API_with_text,0.6113134533367001,0.26701224442905014,,43.81278896331787
5,TabPFN_v2API_without_text,0.5355712002368207,0.29187103244778445,,4.164118051528931
