fold,model,score,loss,roc_auc,fit_predict_time
1,TabPFN_v2API_with_text,0.7830178031913685,600.8315819864475,,34.55097723007202
1,TabPFN_v2API_without_text,0.8074959595870197,565.9272764143051,,23.30030584335327
2,TabPFN_v2API_with_text,0.7819410899155197,508.858776808503,,37.477134227752686
2,TabPFN_v2API_without_text,0.7726436815453519,519.5936862842123,,23.159327030181885
3,TabPFN_v2API_with_text,0.6661511260207238,672.5763793114522,,37.425249099731445
3,TabPFN_v2API_without_text,0.597958257972449,738.0779416664826,,23.22970700263977
4,TabPFN_v2API_with_text,0.7791407748708092,721.3953076740612,,36.92292308807373
4,TabPFN_v2API_without_text,0.7594526817067899,752.8627345957282,,23.70465922355652
5,TabPFN_v2API_with_text,0.7148797500576767,665.9073759027102,,36.830812215805054
5,TabPFN_v2API_without_text,0.6971256277967312,686.3269573313809,,29.832922220230103
