fold,model,score,loss,roc_auc,fit_predict_time
1,TabPFN_v2API_with_text,0.8948108604475882,10878.002569958782,,17.05086588859558
1,TabPFN_v2API_without_text,0.8553741176437617,12755.183667124695,,6.1257970333099365
2,TabPFN_v2API_with_text,0.892785882731245,15439.620501544412,,20.658231735229492
2,TabPFN_v2API_without_text,0.8554978226494993,17924.532185913748,,7.0288779735565186
3,TabPFN_v2API_with_text,0.910744414852359,9158.950558651642,,19.87862777709961
3,TabPFN_v2API_without_text,0.867769437370502,11147.922395942589,,6.872236013412476
4,TabPFN_v2API_with_text,0.8839223095968206,14456.906222125424,,28.524362087249756
4,TabPFN_v2API_without_text,0.8864526877977932,14298.464910231543,,24.290786027908325
5,TabPFN_v2API_with_text,0.9186902711751224,10302.783459763763,,25.14655089378357
5,TabPFN_v2API_without_text,0.876995624296101,12671.954250147222,,13.471021175384521
