fold,model,score,loss,roc_auc,fit_predict_time
1,TabPFN_v2API_with_text,0.5474358963933934,77.20121130631482,,20.726507902145386
1,TabPFN_v2API_without_text,0.5290202883900561,78.7562742156344,,5.559561014175415
2,TabPFN_v2API_with_text,0.45652685135983784,85.29902439768483,,20.886993885040283
2,TabPFN_v2API_without_text,0.43016247684505104,87.34348975768964,,5.924736976623535
3,TabPFN_v2API_with_text,0.4340837694484826,86.86050539359725,,21.98539900779724
3,TabPFN_v2API_without_text,0.4078229284641087,88.85299495038242,,7.644157886505127
4,TabPFN_v2API_with_text,0.4837699583676106,94.61188623495259,,20.079478979110718
4,TabPFN_v2API_without_text,0.46153589888032764,96.62787771206,,6.92411994934082
5,TabPFN_v2API_with_text,0.5373315058051737,68.07799258025138,,20.044657230377197
5,TabPFN_v2API_without_text,0.5243132974026266,69.02911149236861,,5.296933889389038
