fold,model,score,loss,roc_auc,fit_predict_time
1,TabPFN_v2API_with_text,0.5077765206987381,2001.5251679588298,,12.919891834259033
1,TabPFN_v2API_without_text,0.40585217386341066,2199.009718568281,,17.21238613128662
2,TabPFN_v2API_with_text,0.5925000925896791,2439.0142521486982,,39.947287797927856
2,TabPFN_v2API_without_text,0.4691488135737216,2783.7932473943742,,25.372075080871582
3,TabPFN_v2API_with_text,0.5583908583676768,1628.892839763712,,17.519993782043457
3,TabPFN_v2API_without_text,0.4808137565543241,1766.1804576304141,,27.795284032821655
4,TabPFN_v2API_with_text,0.6578582872350127,2906.701631697081,,32.73713302612305
4,TabPFN_v2API_without_text,0.4829561391539846,3573.231342936676,,3.543450117111206
5,TabPFN_v2API_with_text,0.6253334335015202,1856.3171835339124,,44.93144083023071
5,TabPFN_v2API_without_text,0.43462800966910975,2280.3255801468754,,11.567655086517334
