dataset_name,model,fasttext_df_t-test,fasttext_df_anova,fasttext_df_variance,fasttext_df_pca,fasttext_df_correlation,fasttext_df_shap,fasttext_df_random,ag_df_t-test,ag_df_anova,ag_df_variance,ag_df_pca,ag_df_correlation,ag_df_shap,ag_df_random,skrub_df_t-test,skrub_df_anova,skrub_df_variance,skrub_df_pca,skrub_df_correlation,skrub_df_shap,skrub_df_random,skrub_df_all,ag_df_all
beer,tabpfn,,,0.01341652776974649,0.015461049780256206,0.01813530672489429,0.02336887930963512,0.021165724705657505,,,0.015976430128724763,0.01452699094353316,0.019211801143093874,0.014307417301713497,0.019871459965287587,,,,,,,,0.00494935699734662,
laptops,tabpfn,,,0.016479551584516448,0.02412896431400956,0.009305370485339177,0.01409502933765013,0.017442093769317952,,,0.026839229485233266,0.028993737859489575,0.02141012181507478,0.02296671902808905,0.017835659811316754,,,0.02478386582944461,0.022667593959062104,0.021581434321179597,0.02160274968940711,0.024283033965654753,,
spotify,tabpfn,,0.013097921802925665,0.016006942938057274,0.013719410418171112,,0.010402991022884805,0.012174654911833097,,0.010593499054713821,0.006055300708194995,0.007071067811865492,,0.011274356350191826,0.014583095236151547,,,,,,,,0.006944222218666553,
it_salary,tabpfn,,,85269.02910195768,33977.333593356576,1769974.9700134175,340265.7848656715,29162.80304780863,,,,,,,,,,,,,,,121863.83863872223,8670.762207455233
mercari,tabpfn,,,0.049592938361994264,0.04125587707071902,0.03625019217738426,0.049644875625765916,0.04173406690299402,,,0.020758109803301786,0.0227067277421842,0.022279387827484676,0.036678606633474616,0.021491986071312315,,,,,,,,0.028195830079998204,
sf_permits,tabpfn,,,0.05784354443302796,0.057550483814489795,0.06624452257372761,0.06215629080115702,0.06206072387181284,,,0.06082103512890922,0.06128443024701845,0.06455664733320034,0.0584283476334589,0.051697438457285486,,,,,,,,0.05974325944773541,
airbnb,tabpfn,,,0.0428657020785806,0.0437493931348518,0.04983809273284043,0.053863816179601086,0.048502672955063796,,,0.04765813198525638,0.04383782608025598,0.047196385608018414,0.047744992952965234,0.04729006000010835,,,0.04742626482266923,0.04913737135261552,0.04873054143032029,0.04793201506820029,0.046865052617226885,,
osha_accidents,tabpfn,0.008459051693633046,0.009104333522498424,0.023084386257574387,0.019090428084368484,,0.01485485330343811,0.018275666882497047,0.011671427600007712,0.010883218478209675,0.018469193569593416,0.01351542328847553,,0.006446359868604575,0.012534397117975448,,,,,,,,0.014506703431325955,
wine,tabpfn,,,0.10974741269738514,0.11333766947365843,0.1146415634865171,0.1150809233373874,0.0925902068068921,,,0.12360410641655842,0.11424844840920546,0.11024880456606229,0.13479143238787572,0.1340703279797583,,,,,,,,0.14530131361559082,
job_frauds,tabpfn,0.005099019513592791,0.004666666666666662,0.013523641850067207,0.011614167593456248,,0.0050990195135927905,0.006699917080747261,0.006236095644623214,0.007226494462892916,0.00635959467611297,0.004546060565661959,,0.007817359599705741,0.006863753427324681,,,,,,,,0.0070395706939809614,
hs_cards,tabpfn,,0.01077063768713279,0.008391335318542074,0.009482500067241441,,0.00849632483011624,0.008068173700181232,,,,,,,,,,,,,,,0.010616678925392378,0.009771907628288948
kickstarter,tabpfn,0.009067647005823635,0.013457752825457544,0.010198039027185538,0.010883218478209675,,0.016006942938057284,0.014583095236151557,0.021437246921084688,0.017365355036841463,0.014659088951530673,0.018178130939247975,,0.014757295747452432,0.017159383568311627,,,,,,,,0.019206480387850586,
customer_complaints,tabpfn,,0.024957742063113176,0.02712931993250106,0.028913664589601918,,0.02391187524594795,0.02677893035785993,,0.029390096593542817,0.03378691396910283,0.027418566296905065,,0.029601051032391097,0.029070794813886847,,,,,,,,0.027108834148463306,
calif_houses,tabpfn,,,0.04014676404620631,0.04466407735137386,0.03882139533340276,0.035008195683725,0.04239253427132634,,,0.036522574783674606,0.030465491377284756,0.0321946205190168,0.03940703478885327,0.025933592589422263,,,,,,,,0.037244251176933314,
