dataset_name,model,fasttext_df_variance,fasttext_df_pca,fasttext_df_correlation,fasttext_df_shap,fasttext_df_random,fasttext_df_all,ag_df_variance,ag_df_pca,ag_df_correlation,ag_df_shap,ag_df_random,ag_df_all,skrub_df_variance,skrub_df_pca,skrub_df_correlation,skrub_df_shap,skrub_df_random,skrub_df_all,fasttext_df_anova,ag_df_anova,fasttext_df_t-test,ag_df_t-test
airbnb,xgb,0.5820296261862714,0.5950066554720599,0.56974105776577,0.5665537441537372,0.5832894585300833,,0.602834456921936,0.6005107032043128,0.6174621637308984,0.6031074001450898,0.5975984329069929,,0.5517712044182106,0.541318491110115,0.5683351729337509,0.5619168441354268,0.5445864848029361,,,,,
beer,xgb,0.5188242982340132,0.520220394165517,0.5704093629031525,0.5941882182010426,0.5615372900872215,,0.5592732379612793,0.5398783702876143,0.5481524530047865,0.5527724587952172,0.5390163055204839,,,,,,,0.560297595129569,,,,
calif_houses,xgb,0.7023964513976335,0.6825298178291926,0.6831167628256807,0.6603080215243005,0.7054665690874237,,0.6782144492881171,0.6869619881811839,0.7074320341686084,0.6961346919974052,0.6775647063162945,,,,,,,0.6894964128056408,,,,
it_salary,xgb,-12783669813.275824,-12783667010.435268,-7581992008.300087,-10864132010.261587,-10864132120.401678,,,,,,,-9121576694.895126,,,,,,-10864132010.136015,,,,
laptops,xgb,0.7604697576102758,0.7698511273396077,0.8054804111914251,0.8107217424859947,0.8071689907213276,,0.8041063077637158,0.7990544306426933,0.8218802717374055,0.8153695386533972,0.8040429374172258,,0.8093842597417563,0.8252398909886149,0.829124843204094,0.8326801509075269,0.8216605667987981,,,,,
mercari,xgb,-0.005691920626606661,-0.013756217686565342,0.12728866695320434,0.10956461082463735,0.07694221882321779,,0.09635956621430608,0.07241257788779829,0.019419238072187595,0.09641487512975291,-0.2655163512864829,,,,,,,0.09893880959022061,,,,
sf_permits,xgb,0.4060325792220886,0.39971577562683314,0.41184330759139165,0.4263539242150639,0.40249317557433006,,0.4367273434883902,0.43741941434053294,0.45061646031517155,0.42024395322472274,0.4356528790377091,,,,,,,0.4374024912864541,,,,
wine,xgb,0.14887185444126824,0.15323152893511813,0.3428863882492072,0.39368656852196626,0.3005054363664745,,0.2825775594889797,0.28095793861548846,0.3166149734584822,0.3385925836309009,0.18345200849116045,,,,,,,0.21313994510783543,,,,
customer_complaints,xgb,0.6673333333333333,0.6623333333333333,,0.6716666666666666,0.6716666666666666,,0.6686666666666666,0.6503333333333334,,0.664,0.6623333333333333,,,,,,,0.678,0.6656666666666666,0.6656666666666666,,
job_frauds,xgb,0.9443333333333334,0.9390000000000001,,0.9493333333333333,0.9483333333333335,,0.953,0.9516666666666665,,0.958,0.9186666666666667,,,,,,,0.9516666666666668,0.9476666666666667,0.9463333333333332,0.9466666666666667,0.9400000000000001
hs_cards,xgb,0.7291814946619217,0.7288256227758007,,0.7241992882562277,0.7181494661921708,,,,,,,0.6982206405693951,,,,,,0.7227758007117437,0.7259786476868328,,,
kickstarter,xgb,0.7493333333333333,0.7503333333333334,,0.769,0.747,,0.7206666666666667,0.7213333333333335,,0.7306666666666667,0.7290000000000001,,,,,,,0.7473333333333334,0.7553333333333334,0.6786666666666666,0.7546666666666667,0.7213333333333333
osha_accidents,xgb,0.538,0.5346666666666666,,0.5706666666666667,0.5536666666666668,,0.5636666666666666,0.5586666666666666,,0.5986666666666667,0.5423333333333333,,,,,,,0.5346666666666666,0.5506666666666666,0.5353333333333333,0.5606666666666665,0.5573333333333333
spotify,xgb,0.8119999999999999,0.8106666666666668,,0.807,0.7996666666666667,,0.7126666666666666,0.7106666666666667,,0.7060000000000001,0.7026666666666667,,,,,,,0.7596666666666667,0.8136666666666666,0.7123333333333333,,
