dataset_name,model,fasttext_df_variance,fasttext_df_pca,fasttext_df_correlation,fasttext_df_shap,fasttext_df_random,fasttext_df_all,ag_df_variance,ag_df_pca,ag_df_correlation,ag_df_shap,ag_df_random,ag_df_all,skrub_df_variance,skrub_df_pca,skrub_df_correlation,skrub_df_shap,skrub_df_random,skrub_df_all,fasttext_df_anova,ag_df_anova,fasttext_df_t-test,ag_df_t-test
airbnb,xgb,0.05664654492777068,0.03582052986652827,0.03738389659929542,0.053291268272700414,0.0447541214098932,,0.04265998661332668,0.0344815137960304,0.057390339356771555,0.06025477100309139,0.03984456162851601,,0.027332567067967942,0.04659997869746719,0.04277296782153918,0.0473738965735962,0.05888742197664872,,,,,
beer,xgb,0.02358958752456518,0.023855629778753402,0.020480306220383285,0.03642824107544768,0.02330638180900841,,0.00989783489140339,0.022634796481702683,0.0235613344651621,0.02985203734581333,0.023059927331316035,,,,,,,0.020926372878826597,,,,
calif_houses,xgb,0.03477198733501117,0.0385727447958506,0.05343819027914064,0.0744796442403207,0.03150261610713224,,0.043558016275575866,0.040957062872634654,0.03328201175456394,0.019952412025898307,0.027398583510447046,,,,,,,0.011563157315408636,,,,
it_salary,xgb,15701901642.910643,15701899428.276802,11086123816.588251,16603305515.632593,16603305465.651329,,,,,,,7122512919.720707,,,,,,16603305515.393768,,,,
laptops,xgb,0.03321127529631523,0.031110137453413535,0.04767857720340827,0.03706711740566706,0.036858144816941704,,0.04122026042937998,0.04740108791864871,0.015997664319505864,0.04162219414029508,0.03737567283734477,,0.04405553853343304,0.03953436493920449,0.053210778587701284,0.04619158857060752,0.04070156644286545,,,,,
mercari,xgb,0.1942837675006591,0.22665477991879315,0.045605156146563075,0.061500019158694644,0.12471671242478902,,0.09185470919213289,0.042311616931099666,0.19220607881100515,0.07009106206271276,0.26965183700408457,,,,,,,0.04601447508784705,,,,
sf_permits,xgb,0.040948310239946065,0.052362163465501196,0.03420664150506204,0.03999689912797889,0.06149839533561187,,0.0458673498459162,0.025285539807885008,0.05049952551676429,0.05358385890660948,0.03228277128843128,,,,,,,0.05257192806391069,,,,
wine,xgb,0.23682339166555946,0.22316254633327182,0.17683179194499424,0.09840891689622003,0.20193848907995904,,0.3048653236473698,0.28837919437480264,0.35435941687215866,0.2427222776030724,0.3018141626245243,,,,,,,0.26287151408934656,,,,
customer_complaints,xgb,0.026004273153122752,0.028666666666666653,,0.021239376429432005,0.02880972058177586,,0.018360585805227238,0.014039626459101808,,0.019049642749639398,0.019877402021167456,,,,,,,0.0370944739819828,0.02135935912480105,0.02051016008388685,,
job_frauds,xgb,0.012183777921664708,0.009865765724632478,,0.005436502143433358,0.006992058987801023,,0.004988876515698576,0.005055250296034389,,0.0038586123009300855,0.007557189365836437,,,,,,,0.007378647873726204,0.0048989794855663574,0.0022110831935702505,0.0010540925533894842,0.006055300708194976
hs_cards,xgb,0.0102772448955115,0.011994519250073112,,0.010910825421178551,0.007682218201040169,,,,,,,0.01503953495310707,,,,,,0.012997852219038895,0.005397064372990425,,,
kickstarter,xgb,0.016076207402383327,0.022764494771951846,,0.01392838827718409,0.011323525167642014,,0.008339997335464514,0.012083045973594563,,0.009752492558885207,0.01979337711907138,,,,,,,0.023060307408570613,0.011803954139750506,0.014468356276140472,0.007102425250887514,0.02009422249746872
osha_accidents,xgb,0.005715476066494059,0.01786990020490697,,0.008856886837057616,0.016613247725836153,,0.014772346537440221,0.025328946988683817,,0.01959024700655348,0.007272474743090515,,,,,,,0.01817813093924796,0.01579732748143037,0.012970050972229136,0.029242282932615073,0.010572501018102464
spotify,xgb,0.00945163125250522,0.009043106644166996,,0.011897712198383151,0.00951022841179142,,0.015114378731672847,0.023442601296689673,,0.018666666666666627,0.023347614677116622,,,,,,,0.02135415650406261,0.007257180352359101,0.027780888714686168,,
